# Source: World Bank Open Data (https://data.worldbank.org/)
# License: CC BY 4.0
# Year: 2022
# Columns: country_name, country_code, region, income_group, population, gdp_usd, gdp_per_capita_usd, life_expectancy, land_area_sqkm, surface_area_sqkm, population_density, gni_per_capita_usd, unemployment_pct, internet_users_pct
country_name,country_code,region,income_group,population,gdp_usd,gdp_per_capita_usd,life_expectancy,land_area_sqkm,surface_area_sqkm,population_density,gni_per_capita_usd,unemployment_pct,internet_users_pct
Aruba,ABW,Latin America & Caribbean ,High income,107310,3326671314.7742,31000.5713798732,76.226,180,180,596.166666666667,30160,,
Africa Eastern and Southern,AFE,Aggregates,Aggregates,731821393,1226461319482.05,1675.90252377611,64.4871517904367,14856891.3,15173743.5,49.2580431681559,1565.19408203048,7.86947018999245,26.8
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,40578842,14497243872.1337,357.261152798144,65.617,652230,652860,62.2155405301811,370,14.1,15.86629963
Africa,AFR,Aggregates,Aggregates,,,,,,,,,,
Africa Western and Central,AFW,Aggregates,Aggregates,496366058,1063748247138.21,2143.07209365676,57.9789954665232,9045773,9166243,54.8727077276867,2156.91443987969,3.59653801462938,37.5
Angola,AGO,Sub-Saharan Africa ,Lower middle income,35635029,128233959333.275,3598.53669077341,64.246,1246700,1246700,28.5834835966953,2290,14.124,35.83800125
Albania,ALB,Europe & Central Asia,Upper middle income,2451636,19017247013.8821,7756.96188744253,78.769,27400,28750,89.4757664233577,7720,10.785,82.61367544
Andorra,AND,Europe & Central Asia,High income,79705,3380612573.4825,42414.0590111349,84.016,470,470,169.585106382979,47600,,94.05169678
Arab World,ARB,Aggregates,Aggregates,471352066,3752344988903,7960.81158770821,71.8760955992222,13100560,13166241.9,35.9795356839708,7290.50418722345,9.74413095599936,
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",High income,10074977,511403404642.173,50759.7590190204,80.487,71020,98647.9,141.861123627147,46990,2.872,100
Argentina,ARG,Latin America & Caribbean ,Upper middle income,45407904,633993756301.08,13962.1894087223,75.806,2736690,2780400,16.5922716858687,11890,6.805,88.37535691
Armenia,ARM,Europe & Central Asia,Upper middle income,2969200,19513506553.1251,6571.97445545099,74.7658536585366,28198.32,29740,105.297053157777,5690,13.451,77.02767465
American Samoa,ASM,East Asia & Pacific,High income,48342,871000000,18017.4589383973,72.752,200,200,241.71,,,
Antigua and Barbuda,ATG,Latin America & Caribbean ,High income,92840,1857114814.81481,20003.3909394099,77.483,440,440,211,18730,,71.9233017
Australia,AUS,East Asia & Pacific,High income,26018721,1695627535475.8,65169.5191118657,83.2,7692020,7741220,3.38256023775289,60790,3.728,96.11940002
Austria,AUT,Europe & Central Asia,High income,9041851,473221298968.216,52336.7725223758,81.2951219512195,82520,83879,109.571631119729,56310,4.992,93.61409139
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,10141756,78807470588.2353,7770.594223351,74.125,82650,86600,122.707271627344,5670,5.65,88
Burundi,BDI,Sub-Saharan Africa ,Low income,13321097,4020736756.64256,301.832255755105,62.882,25680,27830,518.734306853583,280,0.909,7.144800186
East Asia & Pacific (IBRD-only countries),BEA,Aggregates,Aggregates,,,,,,,,,,
Europe & Central Asia (IBRD-only countries),BEC,Aggregates,Aggregates,,,,,,,,,,
Belgium,BEL,Europe & Central Asia,High income,11680210,591474463578.602,50639.0264882739,81.7487804878049,30494,30689,383.033055683085,54330,5.57,94.00783071
Benin,BEN,Sub-Saharan Africa ,Lower middle income,13759501,17425405090.862,1266.42711031904,60.475,112760,114760,122.024663001064,1360,1.685,30.53730011
Burkina Faso,BFA,Sub-Saharan Africa ,Low income,22509038,18622421394.6133,827.330843486661,60.7,273600,274200,82.2698757309942,840,3.828,25.3987999
Bangladesh,BGD,South Asia,Lower middle income,169384897,460131689083.083,2716.48592780431,74.265,130260,147570,1300.36002610164,2850,4.593,41.61650085
Bulgaria,BGR,Europe & Central Asia,High income,6465097,90510784777.6397,13999.9113358453,74.1609756097561,108560,111000,59.5532148120855,13100,4.148,79.12686326
IBRD countries classified as high income,BHI,Aggregates,Aggregates,,,,,,,,,,
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income,1524693,46458191489.3617,30470.5219276023,80.992,790,790,1929.99113924051,28300,1.265,100
"Bahamas, The",BHS,Latin America & Caribbean ,High income,397538,13896800000,34957.1613279737,74.491,10010,13880,39.7140859140859,33790,9.25,92.2559967
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,3204802,24534663636.1778,7655.59421024383,76.777,51200,51210,62.5937890625,7710,12.657,78.8455371
Latin America & the Caribbean (IBRD-only countries),BLA,Aggregates,Aggregates,,,,,,,,,,
Belarus,BLR,Europe & Central Asia,Upper middle income,9228071,73775179924.603,7994.64806074889,74.1033658536585,202990,207630,45.4607172767131,7210,3.574,89.50733148
Belize,BLZ,Latin America & Caribbean ,Upper middle income,402733,2846604350,7068.21728043145,72.19,22810,22970,17.6559842174485,6710,8.682,69.98329926
"Middle East, North Africa, Afghanistan & Pakistan (IBRD only)",BMN,Aggregates,Aggregates,,,,,,,,,,
Bermuda,BMU,North America,High income,64749,7767884000,119969.173269085,82.062,54,4290,1199.05555555556,131560,,
Bolivia,BOL,Latin America & Caribbean ,Lower middle income,12077154,50959081953.6903,4219.46113742445,67.434,1083300,1098580,11.1484851841595,4190,3.552,72.62270355
Brazil,BRA,Latin America & Caribbean ,Upper middle income,210306415,1951923942083.32,9281.33334441234,74.872,8358140,8510420,25.161867951482,8440,9.231,80.52775094
Barbados,BRB,Latin America & Caribbean ,High income,282318,6886644900,24393.2193483944,75.676,430,430,656.553488372093,24760,7.261,69.06359863
Brunei Darussalam,BRN,East Asia & Pacific,High income,455370,16681536466.7183,36632.9280952155,72.917,5270,5770,86.4079696394687,30970,5.191,98.97042579
Sub-Saharan Africa (IBRD-only countries),BSS,Aggregates,Aggregates,,,,,,,,,,
Bhutan,BTN,South Asia,Lower middle income,780914,2898227743.75576,3711.32767981591,72.754,38140,38390,20.4749344520189,3600,5.947,88.35620117
Botswana,BWA,Sub-Saharan Africa ,Upper middle income,2439892,20321150599.1523,8328.7090572666,68.749,566730,581730,4.30521059411007,7690,23.615,57.9
Sub-Saharan Africa (IFC classification),CAA,Aggregates,Aggregates,,,,,,,,,,
Central African Republic,CAF,Sub-Saharan Africa ,Low income,5098039,2382618615.01694,467.359825026238,18.818,622980,622980,8.18331086070179,520,6.287,13.75360012
Canada,CAN,North America,High income,38950132,2200562785046.32,56496.9275340663,81.0948780487805,8788700,15634410,4.43184225198266,54070,5.279,94
East Asia and the Pacific (IFC classification),CEA,Aggregates,Aggregates,,,,,,,,,,
Central Europe and the Baltics,CEB,Aggregates,Aggregates,100071871,1954028005289.23,19526.2463443821,76.6522987292583,1104902.13,1166817.47,90.5708010536644,19544.2908215034,3.96540582731722,
Europe and Central Asia (IFC classification),CEU,Aggregates,Aggregates,,,,,,,,,,
Switzerland,CHE,Europe & Central Asia,High income,8777088,858479038993.75,97809.095567203,83.6048780487805,39509.63,41290.7,222.150599739861,97920,4.122,96.45279694
Channel Islands,CHI,Europe & Central Asia,High income,167215,11308272505.183,67627.1417347907,81,,,,,5.923,
Chile,CHL,Latin America & Caribbean ,High income,19553036,301099244104.003,15399.1044717559,79.176,742831.64,757244.88,26.3222982801325,15430,8.249,92.31819916
China,CHN,East Asia & Pacific,Upper middle income,1412175000,18316765021690.2,12970.6056414327,78.202,9388210,9562910,150.42004812419,13170,4.98,75.61131603
Cote d'Ivoire,CIV,Sub-Saharan Africa ,Lower middle income,30395002,70922824813.9102,2333.37128301259,61.562,318000,322460,95.5817672955975,2440,2.31,38.41328122
Latin America and the Caribbean (IFC classification),CLA,Aggregates,Aggregates,,,,,,,,,,
Middle East and North Africa (IFC classification),CME,Aggregates,Aggregates,,,,,,,,,,
Cameroon,CMR,Sub-Saharan Africa ,Lower middle income,27632771,44347206072.5513,1604.87726954895,62.443,472710,475440,58.4560745488777,1660,3.646,40.12559891
"Congo, Dem. Rep.",COD,Sub-Saharan Africa ,Low income,102396968,70422346142.2023,687.738587554685,60.979,2267050,2344860,45.1674943208134,610,4.54,17.99620056
"Congo, Rep.",COG,Sub-Saharan Africa ,Lower middle income,6035104,15817030154.6941,2620.83804267402,65,341500,342000,17.6723396778917,2170,20.131,40.98669815
Colombia,COL,Latin America & Caribbean ,Upper middle income,51737944,345632492851.448,6680.44506854481,76.508,1109500,1140619.05,46.6317656602073,6560,10.541,72.79637855
Comoros,COM,Sub-Saharan Africa ,Lower middle income,834188,1279542248.96288,1533.87755393614,66.481,1861,1861,448.247178936056,1630,3.879,31.37409973
Cabo Verde,CPV,Sub-Saharan Africa ,Upper middle income,519741,2247003344.34242,4323.31362032709,75.907,4030,4030,128.967990074442,4550,12.239,73.32740021
Costa Rica,CRI,Latin America & Caribbean ,High income,5081765,71001226360.8008,13971.7649991294,79.316,51060,51100,99.5253623188406,13490,11.325,82.59801121
South Asia (IFC classification),CSA,Aggregates,Aggregates,,,,,,,,,,
Caribbean small states,CSS,Aggregates,Aggregates,4497310,78475897832.9531,17449.5193422186,72.8322921090607,412817.61,424000,10.8941815733103,15105.0640972486,8.29867755889038,
Cuba,CUB,Latin America & Caribbean ,Upper middle income,11059820,,,77.629,103800,109880,106.549325626204,,1.829,67.88410187
Curacao,CUW,Latin America & Caribbean ,High income,153321,3075180837.98883,20057.1404960105,76.729,444,444,345.317567567568,20480,,
Cayman Islands,CYM,Latin America & Caribbean ,High income,71591,6653516041.43929,92937.8838323153,79.984,240,264,298.295833333333,73960,,
Cyprus,CYP,Europe & Central Asia,High income,1331370,31218047043.8386,33231.05078125,80.434,9240,9250,144.087662337662,31900,6.806,89.60099194
Czechia,CZE,Europe & Central Asia,High income,10672118,301831228325.556,28282.2236715857,78.9292682926829,77171.73,78871.47,138.290511305111,27210,2.224,84.54009378
East Asia & Pacific (IDA-eligible countries),DEA,Aggregates,Aggregates,,,,,,,,,,
Europe & Central Asia (IDA-eligible countries),DEC,Aggregates,Aggregates,,,,,,,,,,
Germany,DEU,Europe & Central Asia,High income,83177813,4201021706478.62,50506.5179638543,80.6080487804878,349360,357600,238.086252003664,55200,3.137,91.62984383
Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1137096,3562814908.76149,3133.25779772463,65.54,23180,23200,49.0550474547023,3310,26.272,63.77600098
Latin America & the Caribbean (IDA-eligible countries),DLA,Aggregates,Aggregates,,,,,,,,,,
Dominica,DMA,Latin America & Caribbean ,Upper middle income,66826,623062962.962963,9323.66089490562,71.081,750,750,89.1013333333333,9740,,80.57980347
"Middle East, North Africa, Afghanistan & Pakistan (IDA total)",DMN,Aggregates,Aggregates,,,,,,,,,,
Denmark,DNK,Europe & Central Asia,High income,5903037,400114306337.077,67781.0940939514,81.3048780487805,40000,42920,147.575925,72040,4.434,97.86011812
IDA countries in Sub-Saharan Africa not classified as fragile situations ,DNS,Aggregates,Aggregates,,,,,,,,,,
Dominican Republic,DOM,Latin America & Caribbean ,Upper middle income,11230734,113478103598.499,10104.2464008585,74.211,48198.02,146839.463,233.012351959686,9150,5.504,81.51269675
South Asia (IDA-eligible countries),DSA,Aggregates,Aggregates,,,,,,,,,,
IDA countries in Sub-Saharan Africa classified as fragile situations ,DSF,Aggregates,Aggregates,,,,,,,,,,
Sub-Saharan Africa (IDA-eligible countries),DSS,Aggregates,Aggregates,,,,,,,,,,
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,45477389,225581644702.568,4960.30334332888,76.129,2381740,2381740,19.0941870229328,4430,12.382,74.78150177
East Asia & Pacific (excluding high income),EAP,Aggregates,Aggregates,2133560408,21564016559632.4,10107.0569545516,75.9325409436903,16001114.47,16276152.791,133.338237908375,10236.6020268989,4.23491194246921,81.6
Early-demographic dividend,EAR,Aggregates,Aggregates,3470644834,13943279396110.6,4017.48956260692,71.4304552508694,33328825.942,34240898.233,104.133426123073,3928.12547327723,5.64296814018676,
East Asia & Pacific,EAS,Aggregates,Aggregates,2379617118,31457553986143.5,13219.5863562213,76.6767167147452,24449046.47,24794864.061,97.3296492736389,13820.1330801318,4.10032254258298,82.4
Europe & Central Asia (excluding high income),ECA,Aggregates,Aggregates,250514347,1819829713206.56,7264.37321853889,74.5731684190474,5907470.32,6027254,42.4063657420119,6895.08241544504,7.71538545377934,82
Europe & Central Asia,ECS,Aggregates,Aggregates,924267385,25850174701132.2,27968.286148204,77.8345651348625,27431739.605,28901143.351,33.6933566120441,28775.2816896222,5.8460641099346,87.9
Ecuador,ECU,Latin America & Caribbean ,Upper middle income,17823897,116133121000,6515.58528418336,76.577,248360,256370,71.7663754227734,6550,3.713,69.71811356
"Egypt, Arab Rep.",EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,112618250,476747720364.742,4233.30783744856,71.01,995450,1001450,113.13300517354,4040,6.546,72.19806556
Euro area,EMU,Aggregates,Aggregates,354666175,14578675912327.5,41105.3462099324,81.4869473735593,2836205.841,3017062.281,125.04951857618,44048.2756977459,6.72976967374639,
Eritrea,ERI,Sub-Saharan Africa ,Low income,3409447,,,67.789,121178.2,121765.8,28.1358115568642,,6.033,
Spain,ESP,Europe & Central Asia,High income,47786102,1448850658406.62,30319.4987196616,83.1341463414634,499713.681,505978.281,95.626963633201,32690,13.033,94.4855432
Estonia,EST,Europe & Central Asia,High income,1348840,38226641740.29,28340.3826549406,77.8439024390244,42730,45340,31.5665808565411,27580,5.571,91.52016546
Ethiopia,ETH,Sub-Saharan Africa ,Low income,125384287,123140304665.399,982.103161502198,66.897,1128498.8,1136239.7,111.107151376678,960,3.386,17.9836998
European Union,EUU,Aggregates,Aggregates,447203596,17023620598906.4,38066.8240398192,80.7133261894067,3988087.571,4311863.751,112.13484860561,40627.2154525104,6.16137258045926,
Finland,FIN,Europe & Central Asia,High income,5556106,280253099309.34,50440.560224974,81.1878048780488,303947.7,338470,18.2798093224591,54120,6.719,92.98879471
Fiji,FJI,East Asia & Pacific,Upper middle income,919422,4977861885.60316,5414.12092119088,67.148,18270,18270,50.3241379310345,5250,5.403,72.56549835
France,FRA,Europe & Central Asia,High income,68184457,2794788137066.94,40988.6396406579,82.1292682926829,538950,606410,126.513511457464,46010,7.303,85.33331734
Faroe Islands,FRO,Europe & Central Asia,High income,53903,3615241800.50058,67069.3987440509,82.8162292682927,1370,12960,39.3452554744526,72970,,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Upper middle income,112114,415232900,3703.66680343222,66.961,700,700,160.162857142857,4020,,39.0279007
"IDA countries classified as fragile situations, excluding Sub-Saharan Africa",FXS,Aggregates,Aggregates,,,,,,,,,,
Gabon,GAB,Sub-Saharan Africa ,Upper middle income,2430747,20440655695.229,8409.20741452279,67.713,257670,267670,9.43356618931191,7150,20.319,67.67169952
United Kingdom,GBR,Europe & Central Asia,High income,67636000,3181244350465.41,47034.7795621476,81.0112195121951,241930,243610,279.568470218658,49690,3.768,95.46530151
Georgia,GEO,Europe & Central Asia,Upper middle income,3712502,24984568959.605,6729.84659930283,74.141,69490,69700,64.9515728331992,5690,11.621,78.71127536
Ghana,GHA,Sub-Saharan Africa ,Lower middle income,33149152,73919003212.1998,2229.89122654479,65.246,227533,238533,145.689425270181,2270,2.87,69.91329956
Gibraltar,GIB,Europe & Central Asia,High income,37609,,,83.517,10,10,3760.9,,,
Guinea,GIN,Sub-Saharan Africa ,Lower middle income,14055137,19910452541.9219,1416.59612011764,60.432,245720,245860,57.1998087253785,1280,5.174,31.31399918
"Gambia, The",GMB,Sub-Saharan Africa ,Low income,2636470,2204734527.88096,836.244875868476,64.859,10120,11300,260.520750988142,830,6.067,48.22539902
Guinea-Bissau,GNB,Sub-Saharan Africa ,Low income,2105529,1856239954.81555,881.602654162231,63.605,28120,36130,74.8765647226174,960,2.666,27.67379951
Equatorial Guinea,GNQ,Sub-Saharan Africa ,Upper middle income,1803545,13687643435.6249,7589.29964909381,63.355,28050,28050,64.297504456328,5210,8.334,63.65950012
Greece,GRC,Europe & Central Asia,High income,10437805,217990189600.69,20884.6773436263,80.7878048780488,128900,131960,80.9759891388673,21980,12.426,83.17066333
Grenada,GRD,Latin America & Caribbean ,Upper middle income,116913,1224007407.40741,10469.3867012856,75.151,340,340,343.861764705882,9980,,68.42030334
Greenland,GRL,Europe & Central Asia,High income,56661,3152334771.77992,55635.0006491223,71.230243902439,410450,410450,0.138046047021562,,,
Guatemala,GTM,Latin America & Caribbean ,Upper middle income,17847877,95609727055.5754,5356.92435887895,71.206,107160,108890,166.553536767451,5220,3.051,54.40430069
Guam,GUM,East Asia & Pacific,High income,165180,6910000000,41833.1517132825,77.102,540,540,305.888888888889,,5.383,
Guyana,GUY,Latin America & Caribbean ,High income,821637,14718388489.2086,17913.4928066879,69.888,211140,214970,3.89143222506394,14680,11.907,76.56240082
High income,HIC,Aggregates,Aggregates,,,,,,,,,,
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,7346100,358673532516.529,48825.0272275805,83.6609756097561,1050,1110,6996.28571428571,54000,4.318,95.61357052
Honduras,HND,Latin America & Caribbean ,Lower middle income,10463872,31426041806.7985,3003.28996826399,72.715,111890,112490,93.5192778621861,2700,8.774,56.88069916
Heavily indebted poor countries (HIPC),HPC,Aggregates,Aggregates,892885172,1002950189402.75,1123.26894975331,63.8422370507134,19409121,19801874.5,46.0033801633778,1077.18499844065,4.43373072825994,
Croatia,HRV,Europe & Central Asia,High income,3855641,71196460236.6301,18465.531473659,77.5756097560976,55960,88070,68.8999463902788,19370,6.811,82.07155532
Haiti,HTI,Latin America & Caribbean ,Lower middle income,11503606,20113007125.93,1748.40890116803,63.948,27560,27750,417.402249637155,1610,14.54,47.77470016
Hungary,HUN,Europe & Central Asia,High income,9605074,177002580544.155,18428.028825614,75.8682926829268,91260,93030,105.249550734166,19200,3.583,89.14282688
"IBRD, including blend",IBB,Aggregates,Aggregates,,,,,,,,,,
